time(s),sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12
0,0.0,0.09105641223710806,0.0,0.0,0.029186176200001496,0.16953884584519632,0.0,0.06764418164947714,0.0,0.22782430705822754,0.0,0.13926548882840514
1,0.03189021846893834,0.0,0.056470106253615586,0.0,0.0899464971148246,0.0,0.0,0.21650560678066025,0.0,0.0,0.033246808375887026,0.13227444668851357
2,0.02790412922001377,0.14799441388900259,0.0,0.05863640187550933,0.1960691272161047,0.05142547560178349,0.12212356600669605,0.11905485943435962,0.0,0.0,0.10065957152777,0.0
3,0.10105152848065264,0.00773683076476183,0.09957522366813559,0.12382830714336357,0.11273582431747582,0.05720574417141441,0.0,0.02125740306322149,0.0,0.0,0.1282135740360131,0.007957353494216583
4,0.0,0.0,0.0,0.002127157673606165,0.0,0.0,0.1429117018551031,0.10269862633197323,0.04729170845254957,0.0,0.0,0.07588244161636093
5,0.0,0.15231240772696575,0.0,0.03088330125989638,0.0,0.11243533598705027,0.0,0.1105900424357309,0.0,0.0,0.014531805532573784,0.06963228620803234
6,0.0,0.05389100436846587,0.0,0.1702214944635238,0.0,0.0,0.032501413625654195,0.0,0.06627258265192668,0.004749346825164296,0.00505363427929115,0.02787998123854607
7,0.0,0.0,0.0,0.02407531794885683,0.0,0.05646059258936003,0.0,0.0,0.0,0.0,0.14898026315713533,0.0
8,0.0,0.0,0.24722794622726602,0.2601683114180395,0.0,0.0,0.07540831702904721,0.007814306296964744,0.10033827642199403,0.0,0.0,0.0
9,0.09503696823969032,0.0,0.0,0.05655096456315442,0.024092499728946865,0.0,0.0,0.08616361244979441,0.012181470577485807,0.04042128652773321,0.0,0.0857898825291343
10,0.08164450809513274,0.0,0.10235215224656602,0.0,0.026588629805933295,0.0,0.07428594795772316,0.013906039865341766,0.15452571697547435,0.07158727446909595,0.0,0.05535695310677933
11,0.0,0.09261775475316414,0.0,0.07533416211045325,0.17691167002632865,0.02253079220409416,0.011386940030968379,0.0,0.2414217312238733,0.02270344788648889,0.0,0.0
12,0.0,0.19094166404701307,0.0372131391093161,0.03811583848827778,0.0,0.0,0.0,0.0,0.0,0.0,0.024778718105208195,0.10821123129931408
